Tarih,Gün,Saat,Sınav,Yer
07/01/2025,Salı,08:30-10:00,Bilgisayar Müh. Giriş,Z-02 2-05
07/01/2025,Salı,10:00-12:00,Doğrusal Cebir,Z-06 Z-07 Z-08
07/01/2025,Salı,13:30-15:00,Veri Tabanı Yönetim Sistemleri,Z-02 Z-07
07/01/2025,Salı,15:00-17:00,Bilgisayar Ağları,Z-02 Z-07
08/01/2025,Çarşamba,15:00,5-1 Ortak Dersler (Yüz Yuze),Eğitim Fakültesi B Blok
09/01/2025,Perşembe,10:00-12:00,Sayısal Devreler ve Mantıksal Tasarım,Z-02 2-67
09/01/2025,Perşembe,13:30-15:00,Bil.Müh.Özel Konular I,2-05
09/01/2025,Perşembe,15:00-17:00,Bilgisayar Mimarisi,Z-02 Z-07
09/01/2025,Perşembe,17:00-19:00,Mobil Programlama,2-05
10/01/2025,Cuma,08:30-10:00,Yöneviem Arastırması,2-07
10/01/2025,Cuma,10:00-12:00,Kriptografiye Giriş,2-07
10/01/2025,Cuma,13:30-15:00,Diferansiyel Denklemler,Z-02
10/01/2025,Cuma,15:00-17:00,Programlamaya Giriş-i,Z-02 2-07
10/01/2025,Cuma,17:00-19:00,Programlama Dilleri,2-05
11/01/2025,Cumartesi,08:30-10:00,Veri Yapıları,2-02 2-07
11/01/2025,Cumartesi,10:00-12:00,Ayrık Matematik,2-02 Z-07
11/01/2025,Cumartesi,13:30-15:00,Bilgi Güveliai,Z-08
02/01/2025,Perşembe,08:30-10:00,Matematik (TBD 1 ve It),Z-02
02/01/2025,Perşembe,15:00-17:00,Java-l,Z-07 Z-08
02/01/2025,Perşembe,17:00-19:00,İleri Programlama,Z-02 2-07
03/01/2025,Cuma,08:00-17:00,5-1 Ortak Dersles (UZEM),Yüz Yüze
03/01/2025,Cuma,10:00,5-1 Ortak Dersler (UZEM),Yüz Yüze
04/01/2025,Cumartesi, ,Yazılım Mühendisliği,Z-02
04/01/2025,Cumartesi, ,Proje Tasarımı,Seminer Salonu
